time,FL_p_test,TC_t_test
0.01,"[0.3299147541145891, -46.62327521072102, 33.30116686982798]","[-0.5636507606241618, -44.78053187559963, 35.737831674154464]"
0.01994949494949495,"[0.328435070750196, -46.97970978492469, 32.79642280707299]","[-0.5810044150813828, -45.85791810760575, 34.34414259691927]"
0.0298989898989899,"[0.3235524743495264, -46.96263491306488, 32.820916895026954]","[-0.5832386198550291, -48.071298474115295, 31.170762674926248]"
0.03984848484848486,"[0.322613197745408, -46.12951385633266, 33.9819102187443]","[-0.5553767555317818, -48.89870501290501, 29.856566358710058]"
0.04979797979797981,"[0.3319360269507247, -45.02023049638379, 35.43832691505388]","[-0.532180143387088, -47.5697631947845, 31.931814290748562]"
0.05974747474747476,"[0.3519450602546327, -44.89605067241822, 35.595324393885825]","[-0.5495646882156383, -44.77302228458782, 35.74745870924272]"
0.0696969696969697,"[0.36448442334724607, -46.43221894371911, 33.56668802666439]","[-0.624029236810148, -44.33060039983022, 36.293454033942865]"
0.07964646464646466,"[0.3561771882164125, -46.77918286048553, 33.081528663705896]","[-0.6476286830885792, -48.286316853001914, 30.835345496233526]"
0.0895959595959596,"[0.36164108725032645, -45.029320524021074, 35.42648527416644]","[-0.5929023828953286, -48.22449303704919, 30.93304201166926]"
0.09954545454545455,"[0.38813849260246686, -44.4199540133922, 36.18733734292186]","[-0.6020922358565335, -44.76320043874837, 35.75891107726441]"
0.1094949494949495,"[0.40457096066256437, -45.45806919653681, 34.87415400081276]","[-0.6587563481627225, -43.27208472890077, 37.54862278833048]"
0.1194444444444445,"[0.40708042081909274, -46.105880599503884, 34.01306233915172]","[-0.6936921150475309, -43.641777634870394, 37.11765598916224]"
0.1293939393939394,"[0.40700675084444754, -46.04189437267024, 34.0996284157524]","[-0.6900890430930533, -43.56432876501396, 37.208592910484064]"
0.1393434343434344,"[0.4002899906773222, -45.00125090803417, 35.46171928498759]","[-0.635250058196655, -43.500622478353876, 37.28402675906987]"
0.1492929292929293,"[0.3682125410030136, -44.605794082033974, 35.95822442568008]","[-0.5869042226257387, -47.322069117562, 32.29680584636649]"
0.1592424242424243,"[0.3580631077195609, -46.940725403028814, 32.85188639119648]","[-0.6542570721687948, -47.551753050589596, 31.95636211321628]"
0.1691919191919192,"[0.34693277998250865, -44.759936689970296, 35.766381633704135]","[-0.540378047266625, -45.419480682905096, 34.922558842000505]"
0.1791414141414142,"[0.32849967341217134, -46.9729511392532, 32.806101555132145]","[-0.5806530357582355, -45.82298254346919, 34.39074676253377]"
0.1890909090909091,"[0.2948081975215089, -46.71907317595374, 33.16696609155409]","[-0.5176199324772273, -48.712163261704035, 30.160629469265693]"
0.1990404040404041,"[0.2739312128969756, -46.04014295718498, 34.10332165910405]","[-0.45532144860952906, -48.51903701692137, 30.47133209002841]"
0.208989898989899,"[0.2548340463048867, -46.060978046686806, 34.075324077743176]","[-0.41907848056164443, -48.32663831135297, 30.776074355943212]"
0.2189393939393939,"[0.235136825003893, -46.79782383528401, 33.05623609800418]","[-0.40134303764177226, -48.674790384303044, 30.222674514708995]"
0.2288888888888889,"[0.22321651451268187, -47.31952228448566, 32.30509766534466]","[-0.38330708986396544, -46.547451895456874, 33.40649858525632]"
0.2388383838383839,"[0.19933781408113574, -46.27799433392303, 33.78037677227726]","[-0.3206456003208711, -47.73129097027977, 31.69270260992627]"
0.2487878787878788,"[0.18742463283338337, -47.02157914506944, 32.737475723133]","[-0.3078138876949619, -46.01544774359356, 34.13634675208957]"
0.2587373737373738,"[0.16748306279205674, -47.05175250828468, 32.69420262576454]","[-0.2795672895552833, -48.48686398473559, 30.524616509763145]"
0.2686868686868688,"[0.16064233363797106, -47.59277853208068, 31.901535631513216]","[-0.2739273950069234, -47.471203924832, 32.08139821954498]"
0.2786363636363636,"[0.15309396617368246, -47.59565308643816, 31.897283889458286]","[-0.26110463367573333, -47.890115550444776, 31.452742439206542]"
0.2885858585858586,"[0.1480509530497459, -46.785272109945275, 33.074502936936504]","[-0.23937058607845146, -47.920463316161516, 31.406659282685297]"
0.2985353535353536,"[0.14699087765829502, -47.63558740942986, 31.83764369189713]","[-0.24976865607746632, -47.58390210579164, 31.914201008589007]"
0.3084848484848485,"[0.14775142632528585, -47.3689022003043, 32.23308275461361]","[-0.2443244083291055, -46.58816956587683, 33.35099866715157]"
0.3184343434343435,"[0.14773475361170446, -47.45188907792003, 32.1107886448012]","[-0.24595842623550737, -46.7244438532508, 33.15979796483568]"
0.3283838383838384,"[0.1464442091721834, -47.5810380341258, 31.919112201006126]","[-0.2490522241999156, -48.07058564941871, 31.17632304046237]"
0.3383333333333334,"[0.14935976786158622, -46.68411896682809, 33.217120253907176]","[-0.2391976894552486, -47.49596264281672, 32.04501001886662]"
0.3482828282828283,"[0.15294042049242512, -47.571422528413514, 31.93341068321195]","[-0.2607329949753122, -48.02069237191896, 31.253023412761195]"
0.3582323232323233,"[0.16025649604813466, -47.58407209518952, 31.9145225674304]","[-0.2739184221823802, -47.790440921964596, 31.603877534156233]"
0.3681818181818182,"[0.1749974276521348, -46.54072728482339, 33.417606582634775]","[-0.2786811364606715, -46.4818592420732, 33.49873800960297]"
0.3781313131313132,"[0.1957035372796147, -46.89658523135969, 32.916232223252045]","[-0.32868465138479697, -48.56398962583867, 30.401270171378066]"
0.3880808080808081,"[0.23515438588252321, -46.78509860523036, 33.07424376951673]","[-0.4010625159846979, -48.676340112552225, 30.22018219860951]"
0.3980303030303031,"[0.27515537178702043, -47.236250213019204, 32.4263366007658]","[-0.48558362182547776, -46.88515643399404, 32.92951054476617]"
0.407979797979798,"[0.30117103495167596, -46.47992819003079, 33.50122268618016]","[-0.5014946142081456, -44.74029847940836, 35.78911210322372]"
0.417929292929293,"[0.322956714001439, -45.38642155130781, 34.96819680423353]","[-0.5096829237243385, -44.67518831692842, 35.87024006298244]"
0.4278787878787879,"[0.3542713721649257, -45.00143829141622, 35.46197108890687]","[-0.5552438922792547, -44.49494231946303, 36.09291013785795]"
0.4378282828282829,"[0.35933123009190177, -45.262850771503615, 35.127646820067795]","[-0.5978381225986298, -48.53882779360832, 30.43733128927942]"
0.4477777777777778,"[0.3660490290388332, -44.7162567883837, 35.82078638103039]","[-0.5879548227436372, -47.61789307826967, 31.859016273649047]"
0.4577272727272728,"[0.35625806070054217, -46.79026723338598, 33.06584827936909]","[-0.6480905825789045, -48.25427508329367, 30.885453935377722]"
0.4676767676767677,"[0.36039838718305806, -45.46580852360664, 34.86454815868117]","[-0.577527892262071, -43.900288088257966, 36.81355072949851]"
0.4776262626262627,"[0.3228985757808451, -46.0437925899882, 34.09796548845182]","[-0.5529620247377943, -48.87493424267381, 29.895507786041254]"
0.4875757575757577,"[0.3269182588748643, -45.758380207167136, 34.4799958712308]","[-0.5257934244421837, -44.29725679389118, 36.3356977616038]"
0.4975252525252526,"[0.29532487292289467, -46.27917046566393, 33.778062618231914]","[-0.5051077254920505, -48.82182134230129, 29.98301147346288]"
0.5074747474747475,"[0.3010708667050258, -46.89790226604725, 32.913560569911695]","[-0.5189184567525684, -45.419275449734904, 34.923151221905705]"
0.5174242424242425,"[0.2917697291261793, -45.41250483494799, 34.93459066674082]","[-0.4579844657207215, -45.50356615565261, 34.81410730377916]"
0.5273737373737375,"[0.2767187115264891, -45.70156176407298, 34.555709066535705]","[-0.4496749534525045, -48.0341663718465, 31.230161757662295]"
0.5373232323232324,"[0.2718684953109989, -46.597390747159466, 33.3379005501177]","[-0.4679509396997009, -48.770922484604995, 30.066334860279028]"
0.5472727272727272,"[0.2726190186686838, -47.11422285330992, 32.60340524870146]","[-0.48260998533103533, -48.16548105135494, 31.026760589938668]"
0.5572222222222223,"[0.27453361212712457, -47.24473773083956, 32.413974425419354]","[-0.48621047926197264, -47.21000233442303, 32.46206445938661]"
0.5671717171717172,"[0.2759009628257038, -47.1944710526618, 32.48710714621916]","[-0.4836297140177208, -46.47085340722327, 33.51167312916245]"
0.5771212121212121,"[0.27647123280449915, -47.13066569751927, 32.579598901426884]","[-0.48091070167012173, -46.12088704508948, 33.99174683776726]"
0.5870707070707072,"[0.2764611991625481, -47.132127977717055, 32.57748350485659]","[-0.480971594759305, -46.12744660895489, 33.98284399038425]"
0.5970202020202021,"[0.2759491176057337, -47.19035612393361, 32.493083740891045]","[-0.4834490887071166, -46.44273121165202, 33.55063851244288]"
0.606969696969697,"[0.27499552534399285, -47.24054770057185, 32.42007681087106]","[-0.4858244302910452, -46.97005864446185, 32.80829034818017]"
0.616919191919192,"[0.27387121115145824, -47.22957824170054, 32.436064552940664]","[-0.4859862587157468, -47.54395821903441, 31.970958763146182]"
0.626868686868687,"[0.2729340745882099, -47.15768884975325, 32.54050152275669]","[-0.483924742448594, -48.00768714358944, 31.27033965243465]"
0.636818181818182,"[0.2723107079851607, -47.05530449880753, 32.68838502304091]","[-0.4808271660191207, -48.324783438920335, 30.778084099397965]"
0.6467676767676769,"[0.2718276645626423, -46.873062964043115, 32.94917947538865]","[-0.4754599208259037, -48.61662019282112, 30.315087479709014]"
0.6567171717171718,"[0.2720876541397437, -46.48146699616196, 33.49933647409922]","[-0.46503331020501254, -48.77221180730836, 30.06428860716971]"
0.6666666666666667,"[0.2753461426118561, -45.84464163105556, 34.365671363056194]","[-0.4518239010456108, -48.276484489096795, 30.854225813463298]"
0.6766161616161616,"[0.2844779294823594, -45.32725405876256, 35.045191707447906]","[-0.4484406147863003, -46.67638220907836, 33.22530052382953]"
0.6865656565656566,"[0.29697118351063667, -45.745838348972704, 34.49690467096383]","[-0.47254491400364623, -44.81146222909677, 35.70036280216529]"
0.6965151515151516,"[0.301121237808457, -46.88061951735099, 32.93817222739073]","[-0.5181684425410747, -45.374123033491784, 34.98180684896722]"
0.7064646464646466,"[0.29630428613193677, -47.09101804307601, 32.63670592214314]","[-0.5297009834660565, -47.9410257593109, 31.371704066323034]"
0.7164141414141415,"[0.2950241491922251, -46.39849018198202, 33.61397655136411]","[-0.5082869013615922, -48.83698026752846, 29.95826017622994]"
0.7263636363636364,"[0.29793303004693406, -45.76813931723473, 34.46730348256945]","[-0.49342277428441567, -48.45904952686801, 30.566049841778963]"
0.7363131313131315,"[0.3009138009930985, -45.45632965543492, 34.87746973552617]","[-0.4881543880403684, -47.974475619594486, 31.321202791880708]"
0.7462626262626264,"[0.30337657195798406, -45.28610573494249, 35.09818998226177]","[-0.48624035250449066, -47.57018775479111, 31.931914400882114]"
0.7562121212121213,"[0.3072257358228157, -45.12154662739091, 35.30946037977896]","[-0.4859233070448193, -46.94696977615946, 32.841319361252594]"
0.7661616161616162,"[0.31417798283934706, -45.05892190787841, 35.3892808447213]","[-0.4913661710280523, -45.87041550544269, 34.32884924747343]"
0.7761111111111111,"[0.3237246084096876, -45.44259818547651, 34.895154714415305]","[-0.5121938633804545, -44.587826176524985, 35.97874044918822]"
0.7860606060606061,"[0.3297485167102978, -46.34928767973862, 33.6814659346695]","[-0.5512344972479045, -44.415033670162316, 36.191259643996034]"
0.7960101010101012,"[0.32784743048901194, -47.02904850208639, 32.725639230769374]","[-0.5836314146659622, -46.161822869140885, 33.93452274280014]"
0.805959595959596,"[0.3234290153698934, -46.94815653713175, 32.84162513409977]","[-0.5827024083375277, -48.12399730618384, 31.089350124913715]"
0.8159090909090909,"[0.3220921821840765, -46.394728134718584, 33.61892038634602]","[-0.5634034372616855, -48.88645902623786, 29.876463151695063]"
0.825858585858586,"[0.3241543018347705, -45.77665023204167, 34.45576247209842]","[-0.5460135450178044, -48.72421588808857, 30.140653697478736]"
0.835808080808081,"[0.3285796575981256, -45.25279673619118, 35.14089886404902]","[-0.5352407434369116, -48.07607634853775, 31.164254367590424]"
0.8457575757575758,"[0.3357157964158465, -44.85182163421471, 35.65119550601873]","[-0.5314152110333586, -47.00634051556414, 32.755578138998864]"
0.8557070707070707,"[0.34665394472014444, -44.755662243833, 35.77173294894023]","[-0.5399698407435678, -45.456887405703895, 34.87386084115136]"
0.8656565656565658,"[0.359020940412769, -45.32920944853824, 35.04197803701498]","[-0.5711556807632725, -44.005939572847524, 36.68729226191228]"
0.8756060606060607,"[0.36446640443425193, -46.457794510911455, 33.531281565632234]","[-0.625348562681296, -44.37497991874421, 36.23915625946533]"
0.8855555555555557,"[0.3586234456443366, -46.96231183244549, 32.82101470991]","[-0.6550240618907949, -47.331991891764105, 32.28095161311181]"
0.8955050505050506,"[0.3554212396958165, -45.95935516648434, 34.21136797082318]","[-0.6171151096046775, -48.992662607347675, 29.700917992476906]"
0.9054545454545455,"[0.3704277046626081, -44.5154960150277, 36.069928581346204]","[-0.5865230200155356, -47.02180737391897, 32.7324299747024]"
0.9154040404040404,"[0.3972960206868386, -44.790308192963344, 35.727815464467625]","[-0.6242166694525435, -43.765673416647154, 36.972726893599656]"
0.9253535353535355,"[0.40666429127345705, -46.452531912227876, 33.538086604775145]","[-0.7140534153363876, -44.28919238546258, 36.342315770672535]"
0.9353030303030304,"[0.397268547394136, -46.679967918801836, 33.22091393704614]","[-0.7340347119021348, -48.14221426430058, 31.057925699950424]"
0.9452525252525253,"[0.396780891318096, -45.45888446269188, 34.873180789019806]","[-0.6842624983436777, -49.023844131546184, 29.64794835078761]"
0.9552020202020203,"[0.40594802552083176, -44.46389711549887, 36.13313450995708]","[-0.6588302901735915, -47.924639812293975, 31.394285969303073]"
0.9651515151515153,"[0.41097579150768754, -44.18794647178878, 36.470026535730256]","[-0.655115402154646, -47.30149053842949, 32.325627088495416]"
0.9751010101010102,"[0.4020684724881896, -44.76755938108749, 35.75626264049391]","[-0.6649609665639339, -48.40741635207346, 30.644513685841083]"
0.9850505050505052,"[0.3964447535028978, -46.57873523950281, 33.36271279523689]","[-0.729219450649485, -48.43706159288256, 30.596170565151457]"
0.9950000000000001,"[0.40467267631861686, -45.47303499126851, 34.85463640205782]","[-0.6595335889507633, -43.271339071176925, 37.549468444227365]"
1.004949494949495,"[0.3575243299442488, -45.50520912228197, 34.81313644448929]","[-0.603820399018532, -48.77451959483072, 30.058076938336345]"
1.01489898989899,"[0.36092760095054266, -45.52602673981266, 34.785873146501274]","[-0.5803265384017011, -43.86759135863962, 36.85246259766065]"
1.024848484848485,"[0.32459844294365, -47.04674500207908, 32.70022584894376]","[-0.5862773395721822, -47.62813638489184, 31.84373177557855]"
1.03479797979798,"[0.2989904371712118, -45.6397237591405, 34.63715591557093]","[-0.49104300234117787, -48.28918669291189, 30.833742479930923]"
1.044747474747475,"[0.2904145025929221, -45.367187128475436, 34.99343283358066]","[-0.45544284763077053, -45.70956586134134, 34.54322669630017]"
1.05469696969697,"[0.2727083088733448, -45.8476384677711, 34.36169418289167]","[-0.43282340144648607, -45.194918649787546, 35.21417814111229]"
1.064646464646465,"[0.24911194899189862, -45.779755505492055, 34.45226087074669]","[-0.39263103438787494, -46.02309005566402, 34.125172125731744]"
1.07459595959596,"[0.22300353965244085, -46.23239067039283, 33.84261621584863]","[-0.3636488384663711, -48.14420646053528, 31.061382677198697]"
1.084545454545454,"[0.20865339496995552, -47.44750371037736, 32.11693019929266]","[-0.3617266488155159, -47.43287563564771, 32.13717182292896]"
1.09449494949495,"[0.19288591455930934, -46.27984194924461, 33.777882914544044]","[-0.30595385791037577, -46.67155489407823, 33.233698349982305]"
1.104444444444445,"[0.17578845166617202, -47.371584361561084, 32.2290000389014]","[-0.30038658998808654, -48.33179386713314, 30.76936495108812]"
1.114393939393939,"[0.1690893576457562, -47.47831898772728, 32.07159155546371]","[-0.2856200925186728, -46.83329430958544, 33.00556491390877]"
1.124343434343434,"[0.16075281522057594, -47.58753971771521, 31.90934929074894]","[-0.2737752572135903, -47.376021270224705, 32.22179395569864]"
1.134292929292929,"[0.1545540497727697, -46.734951801458706, 33.14553881252762]","[-0.25001823838760945, -47.937281046883314, 31.380900667831998]"
1.144242424242425,"[0.15258363168261901, -47.41342692992913, 32.16753044620239]","[-0.2582546373613959, -48.367857129482346, 30.713027386697156]"
1.154191919191919,"[0.15265454696055275, -47.215844169239226, 32.456849908565594]","[-0.25536794078225034, -48.46298905165295, 30.562719600944078]"
1.164141414141414,"[0.15558500191401772, -46.643439211415426, 33.274190025452434]","[-0.24966643229339608, -47.61548414292908, 31.867062721857497]"
1.174090909090909,"[0.15815608716896667, -46.627957780780946, 33.29586896084174]","[-0.2519448219122259, -46.85469006787572, 32.97545894239781]"
